frame,bbox,detect_conf,sex_decfunc,sex_label
42,"(570, 212, 733, 376)",0.8111358,17.174607918924536,m
43,"(309, 164, 492, 347)",0.99703884,-18.26375658593096,f
43,"(732, 23, 929, 221)",0.9271048,-8.132773907285873,f
43,"(61, 115, 243, 298)",0.91532564,-3.949726216473,f
43,"(570, 213, 734, 377)",0.85142505,17.96922689755148,m
44,"(310, 164, 492, 347)",0.99688965,-18.181945097979245,f
44,"(732, 24, 930, 222)",0.9314334,-7.4840512356092095,f
44,"(60, 115, 243, 299)",0.9112384,-5.933171944347367,f
44,"(570, 214, 733, 376)",0.8619728,17.729659580736893,m
45,"(310, 165, 492, 347)",0.9969145,-18.1321283675167,f
45,"(731, 24, 929, 223)",0.9228246,-8.196715349458103,f
45,"(60, 115, 245, 300)",0.90029496,-5.091683547328303,f
45,"(568, 214, 733, 379)",0.8839897,17.750221674097475,m
46,"(310, 165, 492, 347)",0.99693334,-18.307846541529504,f
46,"(565, 214, 733, 382)",0.9017081,17.43008984699283,m
46,"(62, 115, 246, 300)",0.90093255,-4.562032189218804,f
46,"(730, 25, 928, 223)",0.8912231,-9.208196912693571,f
47,"(310, 164, 493, 347)",0.99697053,-18.282972374720373,f
47,"(564, 214, 733, 383)",0.9143149,15.734904667734538,m
47,"(62, 116, 246, 300)",0.90107226,-5.613745230519972,f
47,"(728, 25, 924, 221)",0.88678545,-7.9595082053102235,f
48,"(310, 164, 493, 347)",0.9971757,-18.061503591822174,f
48,"(564, 214, 733, 382)",0.9223195,16.338953603874405,m
48,"(63, 116, 245, 298)",0.9164705,-1.939721173067766,f
48,"(727, 25, 924, 222)",0.89428836,-8.107761091592732,f
49,"(310, 162, 494, 347)",0.9973405,-17.261431245049117,f
49,"(62, 116, 245, 298)",0.91824883,-3.3619926624532135,f
49,"(565, 214, 733, 381)",0.9173024,17.219825924774554,m
49,"(727, 24, 924, 221)",0.89485776,-7.793726741587017,f
50,"(310, 161, 495, 347)",0.99748284,-16.551102736800246,f
50,"(61, 115, 245, 298)",0.9188523,-3.559792843870763,f
50,"(565, 213, 733, 381)",0.90656054,17.527498490326952,m
50,"(727, 24, 923, 220)",0.8964873,-7.641636743543822,f
51,"(311, 162, 495, 347)",0.9976667,-17.623766134486186,f
51,"(566, 213, 733, 380)",0.9135086,17.52896485491528,m
51,"(728, 24, 923, 219)",0.9057994,-8.456949344423487,f
51,"(62, 115, 246, 298)",0.9005371,-2.593178996198804,f
51,"(933, -36, 1131, 162)",0.66504645,8.678563015369294,m
52,"(313, 163, 494, 344)",0.99800867,-17.926483853736666,f
52,"(728, 24, 922, 218)",0.9148331,-8.657836949502409,f
52,"(566, 213, 732, 379)",0.90716,17.001294815030548,m
52,"(62, 115, 246, 299)",0.8759913,-3.4247708916685577,f
52,"(934, -36, 1130, 160)",0.6810888,8.757623126289712,m
53,"(313, 163, 494, 343)",0.9979819,-17.434125134149618,f
53,"(728, 25, 920, 217)",0.9243224,-8.738570538448375,f
53,"(566, 212, 732, 378)",0.8988709,17.468409802616442,m
53,"(63, 115, 247, 299)",0.8691155,-2.7285507799983337,f
53,"(936, -35, 1129, 159)",0.6890707,8.509877851274705,m
54,"(314, 162, 496, 344)",0.9978434,-16.910757596019256,f
54,"(729, 25, 920, 216)",0.9236977,-9.509862575018385,f
54,"(568, 212, 731, 375)",0.8764442,16.99998464024913,m
54,"(62, 115, 246, 299)",0.84935886,-4.115495585412559,f
54,"(937, -35, 1130, 158)",0.6713729,9.270407980715266,m
55,"(317, 162, 496, 341)",0.9977609,-17.169348031581713,f
55,"(563, 208, 735, 379)",0.9036784,16.146069607777367,m
55,"(729, 23, 921, 215)",0.8986572,-8.42351916845596,f
55,"(63, 115, 246, 298)",0.8265615,-3.7048286006063234,f
55,"(937, -35, 1130, 158)",0.7030061,9.537495082424398,m
56,"(318, 162, 496, 340)",0.99697936,-17.873795420970463,f
56,"(566, 207, 733, 374)",0.91160476,18.414162111902318,m
56,"(733, 22, 924, 213)",0.87913716,-9.072476675927247,f
56,"(63, 115, 246, 298)",0.82348406,-4.719560492405671,f
56,"(937, -37, 1133, 159)",0.7148572,9.100540307002815,m
57,"(320, 162, 498, 339)",0.9968053,-17.653765478923084,f
57,"(732, 16, 928, 212)",0.90872973,-8.821739600913125,f
57,"(566, 207, 730, 370)",0.891454,19.39524694544415,m
57,"(63, 115, 245, 297)",0.8154141,-5.709398065603461,f
57,"(940, -36, 1135, 159)",0.76857746,8.956694853366352,m
58,"(321, 162, 498, 339)",0.9972084,-17.610186265954674,f
58,"(732, 12, 931, 211)",0.8918709,-7.568405575762368,f
58,"(574, 209, 725, 360)",0.83308774,16.84274237285633,m
58,"(62, 114, 245, 298)",0.819096,-2.5974649376533336,f
58,"(941, -36, 1137, 161)",0.7782483,8.907127715627546,m
59,"(322, 163, 499, 339)",0.99739385,-17.070214759360635,f
59,"(732, 10, 932, 211)",0.8680326,-6.670810972497417,f
59,"(62, 116, 245, 298)",0.8383589,-4.935574104985428,f
59,"(572, 209, 725, 362)",0.7400007,13.925254502779936,m
59,"(942, -35, 1139, 162)",0.6878699,8.963315993782613,m
60,"(323, 163, 499, 339)",0.9974782,-17.17616219714484,f
60,"(729, 8, 935, 214)",0.8804386,-6.906442388247952,f
