frame,bb,face_id,face_detect_conf,tracking_conf,sex_label,sex_decision_function,avg_sex_decision_function,avg_sex_label
45,"(939, -9, 1118, 169)",1,0.939,20.719,m,11.761,11.401,m
45,"(730, 21, 923, 214)",2,0.936,18.056,f,-6.196,-6.520,f
45,"(562, 207, 739, 384)",3,0.842,21.058,m,17.054,16.904,m
45,"(319, 174, 484, 339)",4,0.663,25.910,f,-16.234,-15.173,f
46,"(60, 112, 267, 319)",0,,19.135,f,-9.275,-9.679,f
46,"(939, -9, 1118, 169)",1,,27.243,m,11.751,11.401,m
46,"(729, 23, 917, 211)",2,,19.712,f,-5.385,-6.520,f
46,"(559, 208, 734, 382)",3,,19.606,m,18.974,16.904,m
46,"(319, 174, 484, 340)",4,,28.341,f,-18.208,-15.173,f
47,"(68, 114, 272, 318)",0,,19.920,f,-8.547,-9.679,f
47,"(938, -10, 1117, 168)",1,,26.916,m,11.210,11.401,m
47,"(730, 21, 922, 213)",2,,25.581,f,-5.746,-6.520,f
47,"(561, 206, 738, 383)",3,,26.806,m,17.483,16.904,m
47,"(319, 174, 484, 339)",4,,27.841,f,-19.497,-15.173,f
48,"(63, 111, 268, 316)",0,,23.054,f,-9.218,-9.679,f
48,"(938, -10, 1117, 168)",1,,25.876,m,11.844,11.401,m
48,"(729, 21, 922, 214)",2,,27.541,f,-6.721,-6.520,f
48,"(561, 207, 738, 384)",3,,27.748,m,17.433,16.904,m
48,"(322, 174, 487, 339)",4,,21.037,f,-16.415,-15.173,f
49,"(61, 110, 272, 321)",0,,27.081,f,-10.778,-9.679,f
49,"(942, -10, 1120, 167)",1,,19.522,m,11.093,11.401,m
49,"(729, 21, 922, 214)",2,,26.921,f,-6.791,-6.520,f
49,"(561, 206, 738, 383)",3,,26.539,m,17.957,16.904,m
49,"(320, 173, 485, 338)",4,,26.861,f,-18.628,-15.173,f
50,"(60, 109, 272, 321)",0,0.997,27.523,f,-9.655,-9.679,f
50,"(939, -9, 1118, 169)",1,0.918,26.145,m,9.192,11.401,m
50,"(728, 20, 923, 215)",2,0.910,21.650,f,-7.404,-6.520,f
50,"(560, 205, 739, 384)",3,0.833,19.006,m,18.042,16.904,m
50,"(318, 169, 489, 339)",4,0.672,18.147,f,-17.942,-15.173,f
51,"(61, 109, 272, 321)",0,,28.929,f,-10.737,-9.679,f
51,"(944, -9, 1122, 168)",1,,21.246,m,9.172,11.401,m
51,"(729, 18, 928, 217)",2,,20.902,f,-8.542,-6.520,f
51,"(560, 205, 739, 384)",3,,28.036,m,17.481,16.904,m
51,"(322, 169, 492, 339)",4,,22.302,f,-18.095,-15.173,f
52,"(60, 109, 272, 321)",0,,26.840,f,-9.896,-9.679,f
52,"(940, -10, 1119, 167)",1,,26.870,m,9.166,11.401,m
52,"(728, 23, 916, 212)",2,,18.392,f,-4.988,-6.520,f
52,"(560, 204, 739, 383)",3,,26.805,m,17.115,16.904,m
52,"(320, 168, 489, 338)",4,,26.936,f,-19.537,-15.173,f
53,"(60, 109, 271, 320)",0,,26.766,f,-10.716,-9.679,f
53,"(946, -9, 1121, 165)",1,,20.279,m,8.553,11.401,m
53,"(726, 19, 926, 219)",2,,24.780,f,-8.793,-6.520,f
53,"(560, 204, 739, 383)",3,,25.944,m,17.099,16.904,m
53,"(323, 168, 493, 337)",4,,22.100,f,-17.647,-15.173,f
54,"(60, 109, 271, 320)",0,,26.269,f,-10.512,-9.679,f
54,"(941, -11, 1119, 166)",1,,26.103,m,9.380,11.401,m
54,"(727, 19, 923, 214)",2,,26.470,f,-8.789,-6.520,f
54,"(560, 203, 739, 382)",3,,24.999,m,16.633,16.904,m
54,"(321, 167, 490, 336)",4,,25.638,f,-18.593,-15.173,f
55,"(59, 107, 271, 320)",0,0.998,27.408,f,-10.482,-9.679,f
55,"(945, -8, 1118, 163)",1,0.887,25.551,m,10.466,11.401,m
55,"(727, 19, 922, 214)",2,0.841,21.397,f,-7.129,-6.520,f
55,"(561, 201, 738, 378)",3,0.800,17.890,m,16.672,16.904,m
55,"(320, 166, 491, 337)",4,0.723,21.270,f,-19.420,-15.173,f
56,"(59, 107, 271, 319)",0,,26.751,f,-9.287,-9.679,f
56,"(949, -8, 1122, 163)",1,,21.334,m,11.076,11.401,m
56,"(727, 14, 929, 216)",2,,21.651,f,-8.310,-6.520,f
56,"(563, 199, 743, 379)",3,,20.031,m,19.473,16.904,m
56,"(325, 167, 494, 335)",4,,22.563,f,-18.289,-15.173,f
57,"(59, 107, 271, 319)",0,,27.172,f,-10.972,-9.679,f
57,"(947, -9, 1119, 163)",1,,27.435,m,9.556,11.401,m
57,"(728, 16, 923, 210)",2,,25.502,f,-8.577,-6.520,f
57,"(562, 199, 738, 376)",3,,22.366,m,19.826,16.904,m
57,"(322, 165, 492, 335)",4,,27.403,f,-19.712,-15.173,f
58,"(57, 108, 266, 317)",0,,18.427,f,-9.062,-9.679,f
58,"(948, -8, 1120, 163)",1,,27.677,m,9.767,11.401,m
58,"(729, 12, 929, 212)",2,,21.519,f,-7.839,-6.520,f
58,"(564, 198, 742, 376)",3,,14.699,m,17.391,16.904,m
58,"(326, 165, 496, 335)",4,,21.438,f,-17.602,-15.173,f
